,aisle_id,instacart,,,,wholefoods
100,101,air fresheners candles,,,,8ct
65,66,asian foods,,,,Agave
81,82,baby accessories,,,,Almond
101,102,baby bath body care,,,,Almondmilk
91,92,baby food formula,,,,Apple
7,8,bakery desserts,,,,Artichoke
16,17,baking ingredients,,,,Artichokes
96,97,baking supplies decor,,,,Bacon
131,132,beauty,,,,Bagel
26,27,beers coolers,,,,Baguettes
126,127,body lotions soap,,,,Baking
111,112,bread,,,,Balm
92,93,breakfast bakery,,,,Bars
47,48,breakfast bars pastries,,,,Bath
17,18,bulk dried fruits vegetables,,,,Beans
67,68,bulk grains rice dried goods,,,,Beef
42,43,buns rolls,,,,Beer
35,36,butter,,,,Bellavitano
44,45,candy chocolate,,,,Beverage
98,99,canned fruit applesauce,,,,Bites
80,81,canned jarred vegetables,,,,Black
58,59,canned meals beans,,,,Blend
94,95,canned meat seafood,,,,Bleu
40,41,cat food care,,,,Blondie
120,121,cereal,,,,Blueberry
106,107,chips pretzels,,,,Blush
113,114,cleaning products,,,,Bomb
89,90,cocoa drink mixes,,,,Bouquet
25,26,coffee,,,,Box
10,11,cold flu allergy,,,,Bread
71,72,condiments,,,,Brew
60,61,cookies cakes,,,,Broccoli
77,78,crackers,,,,Broth
52,53,cream,,,,Brownie
79,80,deodorants,,,,Brush
55,56,diapers wipes,,,,Budino
69,70,digestion,,,,Butter
73,74,dish detergents,,,,Cacao
39,40,dog food care,,,,Cakes
104,105,doughs gelatins bake mixes,,,,Care
130,131,dry pasta,,,,Cauliflower
85,86,eggs,,,,Cereal
2,3,energy granola bars,,,,Chamomile
63,64,energy sports drinks,,,,Chard
43,44,eye ear care,,,,Cheddar
72,73,facial care,,,,Chee
125,126,feminine care,,,,Cheese
117,118,first aid,,,,Cherries
84,85,food storage,,,,Chickpeas
66,67,fresh dips tapenades,,,,Chili
23,24,fresh fruits,,,,Chips
15,16,fresh herbs,,,,Chocolate
11,12,fresh pasta,,,,Chorizo
82,83,fresh vegetables,,,,Chuao
128,129,frozen appetizers sides,,,,Chub
57,58,frozen breads doughs,,,,Cider
51,52,frozen breakfast,,,,Citrus
118,119,frozen dessert,,,,Classic
112,113,frozen juice,,,,Cleanser
37,38,frozen meals,,,,Coconut
33,34,frozen meat seafood,,,,Coffee
78,79,frozen pizza,,,,coffee
115,116,frozen produce,,,,Collection
41,42,frozen vegan vegetarian,,,,Compote
49,50,fruit vegetable snacks,,,,Conditioner
62,63,grains rice dried goods,,,,Cookies
56,57,granola,,,,Crackers
21,22,hair care,,,,Cream
28,29,honeys syrups nectars,,,,Creamer
129,130,hot cereal pancake mixes,,,,Creme
105,106,hot dogs bacon sausage,,,,Cremeux
36,37,ice cream ice,,,,Crisps
102,103,ice cream toppings,,,,Crottin
75,76,indian foods,,,,Crust
3,4,instant foods,,,,Cubes
97,98,juice nectars,,,,Curd
9,10,kitchen supplies,,,,Cutlets
32,33,kosher foods,,,,Decaf
29,30,latino foods,,,,Deodorant
74,75,laundry,,,,Dessert
95,96,lunch meat,,,,Detangler
4,5,marinades meat preparation,,,,Dickason
121,122,meat counter,,,,Dijon
83,84,milk,,,,Dip
45,46,mint gum,,,,Drink
99,100,missing,,,,Eclair
86,87,more household,,,,Elbows
132,133,muscles joints pain relief,,,,Empanadas
116,117,nuts seeds dried fruit,,,,Espresso
18,19,oils vinegars,,,,Essential Oil
19,20,oral hygiene,,,,Essentials
5,6,other,,,,Eucalyptus
107,108,other creams cheeses,,,,Face
20,21,packaged cheese,,,,Farfalle
6,7,packaged meat,,,,Feta
48,49,packaged poultry,,,,File
31,32,packaged produce,,,,Finocchiona
14,15,packaged seafood,,,,Fizz
122,123,packaged vegetables fruits,,,,Flakes
53,54,paper goods,,,,Flatbread
8,9,pasta sauce,,,,Floss
109,110,pickled goods olives,,,,Flour
110,111,plates bowls cups flatware,,,,Fondente
22,23,popcorn jerky,,,,Formula
34,35,poultry counter,,,,Fuel
12,13,prepared meals,,,,Fusilli
0,1,prepared soups salads,,,,Garlic
50,51,preserved dips spreads,,,,Gel
64,65,protein meal replacements,,,,Gelato
27,28,red wines,,,,Gibag
30,31,refrigerated,,,,Ginger
70,71,refrigerated pudding desserts,,,,Glaze
88,89,salad dressing toppings,,,,Goodness
38,39,seafood counter,,,,Gouda
54,55,shave needs,,,,Granola
108,109,skin care,,,,Green
24,25,soap,,,,Gum
76,77,soft drinks,,,,Hand
68,69,soup broth bouillon,,,,Harissa
90,91,soy lactosefree,,,,Hashbrowns
1,2,specialty cheeses,,,,Hearts
133,134,specialty wines champagnes,,,,Herbal
103,104,spices seasonings,,,,Hologram
123,124,spirits,,,,Honey
87,88,spreads,,,,Honeycomb
93,94,tea,,,,Hummus
13,14,tofu meat alternatives,,,,Ice Cream
127,128,tortillas flat bread,,,,Jack
124,125,trail mix snack mix,,,,Juice
59,60,trash bags liners,,,,Kale
46,47,vitamins supplements,,,,Kefir
114,115,water seltzer sparkling water,,,,Kombucha
61,62,white wines,,,,Kraut
119,120,yogurt,,,,Lactose
,,,,,,Lamb
,,,,,,Lasagna
,,,,,,Lemon
,,,,,,Lemonade
,,,,,,Lentil
,,,,,,Lime
,,,,,,Linguine
,,,,,,Lotion
,,,,,,Mac
,,,,,,Macaroni
,,,,,,Mango
,,,,,,Marionberry
,,,,,,Marshmallows
,,,,,,Mate
,,,,,,Maya
,,,,,,Mayo
,,,,,,Melts
,,,,,,Merlot
,,,,,,Milk
,,,,,,Mirepoix
,,,,,,Miso
,,,,,,Mist
,,,,,,Mix
,,,,,,Model
,,,,,,Mouthwash
,,,,,,Mozzarella
,,,,,,Muffins
,,,,,,Multiplier
,,,,,,Mussels
,,,,,,Noodles
,,,,,,Number
,,,,,,Oatdrink
,,,,,,Oats
,,,,,,Oil
,,,,,,Olives
,,,,,,Orange
,,,,,,Organic
,,,,,,Oxidants
,,,,,,Pack
,,,,,,Pad
,,,,,,Pads
,,,,,,Paris
,,,,,,Parmesan
,,,,,,Passionfruit
,,,,,,Pasta
,,,,,,Paste
,,,,,,Pasture
,,,,,,Patchouli
,,,,,,Peas
,,,,,,Peppers
,,,,,,Perfectto
,,,,,,Pickles
,,,,,,Pizza
,,,,,,Plain
,,,,,,Potato
,,,,,,Potatoes
,,,,,,Pouch
,,,,,,Pouches
,,,,,,Powder
,,,,,,Puffs
,,,,,,Pure
,,,,,,Puro
,,,,,,Raclette
,,,,,,Ranch
,,,,,,Raspberry
,,,,,,Red
,,,,,,Rice
,,,,,,Rinds
,,,,,,Roast
,,,,,,Roll
,,,,,,Rolls
,,,,,,Rose
,,,,,,Rosemary
,,,,,,Salame
,,,,,,Salami
,,,,,,Salmon
,,,,,,Salt
,,,,,,Sauce
,,,,,,Sauerkraut
,,,,,,Sausage
,,,,,,Seasoning
,,,,,,Seeds
,,,,,,Serum
,,,,,,Shake
,,,,,,Shampoo
,,,,,,Shave
,,,,,,Shortcake
,,,,,,Shot
,,,,,,Shrimp
,,,,,,Single
,,,,,,Sleeve
,,,,,,Smoothie
,,,,,,Snack
,,,,,,Soap
,,,,,,Solution
,,,,,,Soup
,,,,,,Soy
,,,,,,Spf
,,,,,,Spinach
,,,,,,Spray
,,,,,,Spread
,,,,,,Spritzer
,,,,,,Sprouts
,,,,,,Steak
,,,,,,Stick
,,,,,,Strawberries
,,,,,,Strawberry
,,,,,,Stringles
,,,,,,Strips
,,,,,,supplement
,,,,,,Sweet
,,,,,,Sweetener
,,,,,,Syrup
,,,,,,Taquitos
,,,,,,Tarchiette
,,,,,,Tea
,,,,,,Tomato
,,,,,,Toothbrush
,,,,,,Toothpaste
,,,,,,Torrone
,,,,,,Tortilla
,,,,,,Towel
,,,,,,Towelettes
,,,,,,Tremor
,,,,,,Trouble
,,,,,,Tube
,,,,,,Twirl
,,,,,,Vanilla
,,,,,,Verbenone
,,,,,,Vinegar
,,,,,,Wash
,,,,,,Water
,,,,,,Watermelon
,,,,,,Wipes
,,,,,,Ylang
,,,,,,Yogurt
